feature,max_ks,max_ks_pair,f_statistic,f_pvalue
secret_scanner_confidence,1.0,ai4privacy vs secretbench,9892.989937685541,0.0
heuristic_distinct_ratio,1.0,ai4privacy vs detect_secrets,905.0824994777165,0.0
heuristic_avg_length,1.0,ai4privacy vs gitleaks,3333.9358162960993,0.0
has_secret_indicators,1.0,ai4privacy vs secretbench,10157.944713408418,0.0
primary_is_credential,0.96,secretbench vs synthetic,1880.689646956815,0.0
confidence_gap,0.8140322580645162,detect_secrets vs synthetic,152.15929729193925,1.2144908976372736e-154
primary_is_pii,0.7866666666666666,ai4privacy vs secretbench,391.0558828319132,0.0
regex_match_ratio,0.6846774193548387,secretbench vs synthetic,278.23164907767256,1.4415271261414734e-274
top_overall_confidence,0.6758333333333333,ai4privacy vs secretbench,210.14071769969092,7.78893293920131e-211
engines_fired,0.5666666666666667,ai4privacy vs secretbench,195.07733383705414,2.0700612605529186e-196
regex_confidence,0.5,detect_secrets vs secretbench,188.5673816378283,3.866398771541167e-190
engines_agreed,0.5,detect_secrets vs gitleaks,44.87237993458954,8.124317126350428e-46
column_name_confidence,0.25,ai4privacy vs detect_secrets,33.377658620708694,7.893210176823301e-34
has_column_name_hit,0.25,ai4privacy vs detect_secrets,40.9425147953974,1.0099659877101831e-41
heuristic_confidence,0.02358974358974359,ai4privacy vs nemotron,9.101535485737468,1.2123438618239322e-08
