feature,corpus_a,corpus_b,ks,p_value
top_overall_confidence,ai4privacy,detect_secrets,0.38666666666666666,1.4596321657281955e-32
top_overall_confidence,ai4privacy,gitleaks,0.4841666666666667,1.0027705613791597e-51
top_overall_confidence,ai4privacy,nemotron,0.19371794871794873,7.495526553647279e-25
top_overall_confidence,ai4privacy,secretbench,0.6758333333333333,4.388533963938429e-106
top_overall_confidence,ai4privacy,synthetic,0.3364516129032258,1.1852774781832513e-91
top_overall_confidence,detect_secrets,gitleaks,0.5,1.8916976044931988e-34
top_overall_confidence,detect_secrets,nemotron,0.42102564102564105,4.622566748464357e-42
top_overall_confidence,detect_secrets,secretbench,0.5,1.8916976044931988e-34
top_overall_confidence,detect_secrets,synthetic,0.4838709677419355,4.2926718424834586e-60
top_overall_confidence,gitleaks,nemotron,0.3425641025641026,1.2094156656971009e-27
top_overall_confidence,gitleaks,secretbench,0.34,9.158954716915745e-16
top_overall_confidence,gitleaks,synthetic,0.3399462365591398,4.442384419895961e-29
top_overall_confidence,nemotron,secretbench,0.4846153846153846,2.5888208934642216e-56
top_overall_confidence,nemotron,synthetic,0.19311827956989247,3.344022891624991e-42
top_overall_confidence,secretbench,synthetic,0.6529569892473118,3.9824412864057715e-115
regex_confidence,ai4privacy,detect_secrets,0.32,3.1065523295172753e-22
regex_confidence,ai4privacy,gitleaks,0.31166666666666665,4.302984112617788e-21
regex_confidence,ai4privacy,nemotron,0.19371794871794873,7.495526553647279e-25
regex_confidence,ai4privacy,secretbench,0.245,4.1095959239797704e-13
regex_confidence,ai4privacy,synthetic,0.32838709677419353,3.044352864234134e-87
regex_confidence,detect_secrets,gitleaks,0.49333333333333335,1.6652906107870808e-33
regex_confidence,detect_secrets,nemotron,0.37846153846153846,7.985609906749494e-34
regex_confidence,detect_secrets,secretbench,0.5,1.8916976044931988e-34
regex_confidence,detect_secrets,synthetic,0.47580645161290325,5.198942139852641e-58
regex_confidence,gitleaks,nemotron,0.20615384615384616,3.7539537832965404e-10
regex_confidence,gitleaks,secretbench,0.26666666666666666,8.690124079460009e-10
regex_confidence,gitleaks,synthetic,0.2806451612903226,8.279300924184589e-20
regex_confidence,nemotron,secretbench,0.40205128205128204,2.894357767163468e-38
regex_confidence,nemotron,synthetic,0.21600082712985938,9.12591459328373e-53
regex_confidence,secretbench,synthetic,0.35838709677419356,2.3254405098991096e-32
column_name_confidence,ai4privacy,detect_secrets,0.25,1.216722398658735e-13
column_name_confidence,ai4privacy,gitleaks,0.25,1.216722398658735e-13
column_name_confidence,ai4privacy,nemotron,0.08173076923076923,9.13197708863653e-05
column_name_confidence,ai4privacy,secretbench,0.25,1.216722398658735e-13
column_name_confidence,ai4privacy,synthetic,0.10887096774193548,8.056919982741534e-10
column_name_confidence,detect_secrets,gitleaks,0.0,1.0
column_name_confidence,detect_secrets,nemotron,0.25,8.972010506433872e-15
column_name_confidence,detect_secrets,secretbench,0.0,1.0
column_name_confidence,detect_secrets,synthetic,0.25,9.255812884057881e-16
column_name_confidence,gitleaks,nemotron,0.25,8.972010506433872e-15
column_name_confidence,gitleaks,secretbench,0.0,1.0
column_name_confidence,gitleaks,synthetic,0.25,9.255812884057881e-16
column_name_confidence,nemotron,secretbench,0.25,8.972010506433872e-15
column_name_confidence,nemotron,synthetic,0.09925558312655088,1.997588777625605e-11
column_name_confidence,secretbench,synthetic,0.25,9.255812884057881e-16
heuristic_confidence,ai4privacy,detect_secrets,0.0,1.0
heuristic_confidence,ai4privacy,gitleaks,0.0,1.0
heuristic_confidence,ai4privacy,nemotron,0.02358974358974359,0.792392523880125
heuristic_confidence,ai4privacy,secretbench,0.0,1.0
heuristic_confidence,ai4privacy,synthetic,0.016129032258064516,0.9688208476751025
heuristic_confidence,detect_secrets,gitleaks,0.0,1.0
heuristic_confidence,detect_secrets,nemotron,0.02358974358974359,0.9981204340925615
